Activity,Endorphins,Dopamine,Serotonin,Oxytocin,Endocannabinoids,Adrenaline,GABA,Acetylcholine,Norepinephrine
Running/Exercise,High,Moderate,Moderate,None,High,Moderate,Low,None,Moderate
Laughing,High,Moderate,Moderate,Moderate,None,Low,None,None,Low
Eating Spicy Food,Moderate,Low,None,None,None,Low,None,None,None
Sex and Orgasm,High,High,Moderate,High,Moderate,Moderate,None,None,Moderate
Cold Showers,High,None,None,None,None,High,None,None,High
Sunlight Exposure,None,Low,High,None,None,None,Low,None,None
Meditation,None,Low,Moderate,Moderate,Low,None,High,Low,None
Hugging/Cuddling,Moderate,Low,Moderate,High,None,Low,None,None,Low
Playing Music,Low,High,Moderate,Low,Moderate,Low,None,Moderate,Low
Adventure Sports,Low,Moderate,Low,None,None,High,None,None,High
Eating Favorite Foods,Low,High,Low,None,None,Low,None,None,None
Learning New Skills,None,Moderate,Moderate,None,None,Low,None,High,Moderate
Acts of Kindness,None,Moderate,High,High,None,None,None,None,Low
Dancing,High,High,Moderate,Moderate,High,Moderate,None,None,Moderate
Playing Sports,High,High,Moderate,Moderate,High,High,None,None,High
Yoga/Qi Gong,Moderate,Low,Moderate,Moderate,Moderate,Low,High,None,Low
Public Speaking,None,Moderate,None,None,None,High,None,None,High
Solving Puzzles,None,Moderate,None,None,None,Low,Low,High,Moderate
Music Festivals,High,High,Moderate,High,High,High,None,None,Moderate
Immersive Travel,Moderate,High,High,High,Moderate,Moderate,None,Low,Moderate
